,participant_id,sample_id,method,question,response
0,0,0b65acc415a69a2c25061b239d7925aa,rome,The main passage is written as if the new fact is true,7
1,0,0b65acc415a69a2c25061b239d7925aa,rome,The related passage does not contradict the new fact,6
2,0,0b65acc415a69a2c25061b239d7925aa,rome,"Ignoring the new fact, most of the old facts are still true in the main passage.",1
3,0,0b65acc415a69a2c25061b239d7925aa,rome,"Ignoring the new fact, most of the old facts are still true in the related passage.",1
4,0,0b65acc415a69a2c25061b239d7925aa,rome,"Ignoring the old and new facts, the main passage does not contradict itself.",7
5,0,0b65acc415a69a2c25061b239d7925aa,rome,"Ignoring the old and new facts, the related passage does not contradict itself.",7
6,0,0b65acc415a69a2c25061b239d7925aa,rome,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",7
7,0,0b65acc415a69a2c25061b239d7925aa,rome,The main passage is focused on the subject and the related passage is focused on the related entity,3
8,0,0b65acc415a69a2c25061b239d7925aa,rome,Both passages are natural sounding text close to what a human would write.,6
9,0,637fe6e4ffec3624766d8dc43047bc71,rome,The main passage is written as if the new fact is true,7
10,0,637fe6e4ffec3624766d8dc43047bc71,rome,The related passage does not contradict the new fact,7
11,0,637fe6e4ffec3624766d8dc43047bc71,rome,"Ignoring the new fact, most of the old facts are still true in the main passage.",1
12,0,637fe6e4ffec3624766d8dc43047bc71,rome,"Ignoring the new fact, most of the old facts are still true in the related passage.",2
13,0,637fe6e4ffec3624766d8dc43047bc71,rome,"Ignoring the old and new facts, the main passage does not contradict itself.",3
14,0,637fe6e4ffec3624766d8dc43047bc71,rome,"Ignoring the old and new facts, the related passage does not contradict itself.",7
15,0,637fe6e4ffec3624766d8dc43047bc71,rome,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",7
16,0,637fe6e4ffec3624766d8dc43047bc71,rome,The main passage is focused on the subject and the related passage is focused on the related entity,7
17,0,637fe6e4ffec3624766d8dc43047bc71,rome,Both passages are natural sounding text close to what a human would write.,5
18,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,The main passage is written as if the new fact is true,7
19,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,The related passage does not contradict the new fact,7
20,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,"Ignoring the new fact, most of the old facts are still true in the main passage.",1
21,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,"Ignoring the new fact, most of the old facts are still true in the related passage.",1
22,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,"Ignoring the old and new facts, the main passage does not contradict itself.",7
23,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,"Ignoring the old and new facts, the related passage does not contradict itself.",7
24,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",7
25,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,The main passage is focused on the subject and the related passage is focused on the related entity,2
26,0,cf1e5ca0a69ef5dd194c14529db868d3,rome,Both passages are natural sounding text close to what a human would write.,3
27,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,The main passage is written as if the new fact is true,1
28,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,The related passage does not contradict the new fact,1
29,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,"Ignoring the new fact, most of the old facts are still true in the main passage.",6
30,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,"Ignoring the new fact, most of the old facts are still true in the related passage.",5
31,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,"Ignoring the old and new facts, the main passage does not contradict itself.",7
32,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,"Ignoring the old and new facts, the related passage does not contradict itself.",7
33,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",5
34,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,The main passage is focused on the subject and the related passage is focused on the related entity,7
35,0,a935183dda4c3ec3b1fd0b21939a17d4,no_edit,Both passages are natural sounding text close to what a human would write.,7
36,0,0b65acc415a69a2c25061b239d7925aa,no_edit,The main passage is written as if the new fact is true,1
37,0,0b65acc415a69a2c25061b239d7925aa,no_edit,The related passage does not contradict the new fact,1
38,0,0b65acc415a69a2c25061b239d7925aa,no_edit,"Ignoring the new fact, most of the old facts are still true in the main passage.",3
39,0,0b65acc415a69a2c25061b239d7925aa,no_edit,"Ignoring the new fact, most of the old facts are still true in the related passage.",3
40,0,0b65acc415a69a2c25061b239d7925aa,no_edit,"Ignoring the old and new facts, the main passage does not contradict itself.",7
41,0,0b65acc415a69a2c25061b239d7925aa,no_edit,"Ignoring the old and new facts, the related passage does not contradict itself.",7
42,0,0b65acc415a69a2c25061b239d7925aa,no_edit,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",7
43,0,0b65acc415a69a2c25061b239d7925aa,no_edit,The main passage is focused on the subject and the related passage is focused on the related entity,7
44,0,0b65acc415a69a2c25061b239d7925aa,no_edit,Both passages are natural sounding text close to what a human would write.,7
45,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,The main passage is written as if the new fact is true,1
46,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,The related passage does not contradict the new fact,1
47,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,"Ignoring the new fact, most of the old facts are still true in the main passage.",3
48,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,"Ignoring the new fact, most of the old facts are still true in the related passage.",7
49,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,"Ignoring the old and new facts, the main passage does not contradict itself.",7
50,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,"Ignoring the old and new facts, the related passage does not contradict itself.",7
51,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",7
52,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,The main passage is focused on the subject and the related passage is focused on the related entity,7
53,0,637fe6e4ffec3624766d8dc43047bc71,no_edit,Both passages are natural sounding text close to what a human would write.,7
54,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,The main passage is written as if the new fact is true,1
55,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,The related passage does not contradict the new fact,1
56,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,"Ignoring the new fact, most of the old facts are still true in the main passage.",3
57,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,"Ignoring the new fact, most of the old facts are still true in the related passage.",3
58,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,"Ignoring the old and new facts, the main passage does not contradict itself.",7
59,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,"Ignoring the old and new facts, the related passage does not contradict itself.",7
60,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",7
61,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,The main passage is focused on the subject and the related passage is focused on the related entity,7
62,0,cf1e5ca0a69ef5dd194c14529db868d3,no_edit,Both passages are natural sounding text close to what a human would write.,7
63,0,d60c008509f213dfbf7b5199988c1ccc,no_edit,The main passage is written as if the new fact is true,1
