participant_id,group_id,order_id,sample_id,method,question,response,question_type
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,The main passage is written as if the new fact is true,6,Edit consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,The related passage does not contradict the new fact,6,Edit consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,"Ignoring the new fact, most of the old facts are still true in the main passage.",6,Factual consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,"Ignoring the new fact, most of the old facts are still true in the related passage.",6,Factual consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,"Ignoring the old and new facts, the main passage does not contradict itself.",6,Internal consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,"Ignoring the old and new facts, the related passage does not contradict itself.",6,Internal consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,"Ignoring the old and new facts, the main passage and the related passage do not contradict each other.",6,Cross passage consistency
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,The main passage is focused on the subject and the related passage is focused on the related entity,6,Topicality
Group_1_Order_1_0,Group 1,Order 1,ca4f2b8208098d244cebc35a215f3eb9,no_edit,Both passages are natural sounding text close to what a human would write.,6,Naturalness
Group_1_Order_1_0,Group 1,Order 1,857c595296caaeab532251cf9d8f3979,rome,The main passage is written as if the new fact is true,2,Edit consistency
Group_1_Order_1_0,Group 1,Order 1,857c595296caaeab532251cf9d8f3979,rome,The related passage does not contradict the new fact,2,Edit consistency
Group_1_Order_1_0,Group 1,Order 1,857c595296caaeab532251cf9d8f3979,rome,"Ignoring the new fact, most of the old facts are still true in the main passage.",6,Factual consistency
